Timestamp,What is your age group?,What is your level of familiarity with AI?,Do you use any AI-powered devices or applications daily?,In what areas do you use AI on a daily basis?,How much do you trust AI to make decisions in your daily life?,Do you think AI enhances your productivity in daily tasks?,Do you believe AI will play a significant role in shaping the future?,In which areas do you think AI will have the biggest impact in the future?,What benefits do you foresee with the advancement of AI? ,What concerns do you have regarding AI in the future?,Should there be regulations on the development and use of AI?,Do you think AI will improve or worsen human society in the long run?,What is your overall opinion on AI?,Would you be interested in learning more about AI and its applications in the future?
3/3/2025 17:31:58,18 - 24,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely trust,Yes,Yes,Education,Increased convenience,Job loss and unemployment,"Yes, but with moderate regulations",Improve,Somewhat positive,Yes
3/3/2025 17:33:12,45 - 54,Somewhat familiar,No,Online shopping recommendations,Neutral,No,No,Entertainment,Increased convenience,Job loss and unemployment,"Yes, strict regulations",Improve,Somewhat positive,Yes
3/3/2025 17:35:01,18 - 24,Somewhat familiar,No,Online shopping recommendations,Somewhat distrust,Yes,No,Health care,Improved healthcare,Privacy issues,"No, AI should be developed freely",Unsure,Somewhat positive,No
3/3/2025 17:35:42,18 - 24,Not familiar at all,Yes,"Navigation apps (e.g., Google Maps, Waze)",Completely distrust,Not sure,Yes,Transportation,Better education and learning opportunities,AI becoming too autonomous,"No, AI should be developed freely",Worsen,Neutral,Yes
3/3/2025 17:38:34,18 - 24,Very familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Neutral,Not sure,Yes,Health care,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Unsure,Somewhat positive,Yes
3/3/2025 17:43:07,25 - 34,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Neutral,Yes,Yes,Health care,Improved healthcare,Privacy issues,"Yes, strict regulations",Unsure,Somewhat positive,No
3/3/2025 17:50:18,18 - 24,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Yes,Yes,Health care,More efficient work processes,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Unsure,Neutral,Yes
3/3/2025 17:50:53,25 - 34,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Yes,Yes,Education,Improved healthcare,Job loss and unemployment,"Yes, strict regulations",Improve,Neutral,Yes
3/3/2025 17:56:26,18 - 24,Very familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Completely trust,Yes,Yes,Health care,Increased convenience,Job loss and unemployment,"Yes, strict regulations",Improve,Very positive,Yes
3/3/2025 17:57:04,18 - 24,Very familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Completely trust,Yes,Yes,Health care,Increased convenience,Job loss and unemployment,"Yes, strict regulations",Improve,Very positive,Yes
3/3/2025 17:57:05,25 - 34,Somewhat familiar,Yes,For work,Neutral,Yes,No,In many aspects,More efficient work processes,AI becoming too autonomous,"Yes, but with moderate regulations",Neither,Neutral,Yes
3/3/2025 17:57:14,35 - 44,Somewhat familiar,No,,Neutral,Not sure,Notsure,,Greater accessibility for people with disabilities,,Unsure,Neither,Neutral,Yes
3/3/2025 17:57:57,18 - 24,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely trust,Yes,Yes,Health care,Improved healthcare,Job loss and unemployment,"Yes, strict regulations",Improve,Very positive,Yes
3/3/2025 17:58:58,55 -64,Somewhat familiar,No,"Voice assistants (e.g., Siri, Alexa)",Completely trust,Not sure,Notsure,Health care,Improved healthcare,,"Yes, but with moderate regulations",Improve,Very positive,No
3/3/2025 18:00:16,18 - 24,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Neutral,Yes,Yes,Health care,More efficient work processes,Privacy issues,"Yes, strict regulations",Neither,Neutral,Yes
